serial number,Group_no
1,2
2,2
3,1
4,3
5,3
6,1
7,3
8,3
9,1
10,3
11,3
12,3
13,1
14,1
15,1
16,1
17,2
18,2
19,1
20,2
21,3
22,2
23,2
24,3
25,2
26,3
27,1
28,2
29,1
30,1
31,2
32,3
33,1
34,1
35,3
36,3
37,3
38,2
39,1
40,2
41,2
42,2
43,3
44,2
45,1
46,2
47,2
48,3
49,3
50,3
51,3
52,1
53,3
54,2
55,1
56,3
57,3
58,2
59,3
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,1
70,3
71,1
72,3
73,2
74,3
75,2
76,3
77,2
78,2
79,3
80,1
81,1
82,1
83,1
84,3
85,2
86,3
87,2
88,1
89,1
90,1
91,1
92,3
93,3
94,1
95,2
96,1
97,2
98,2
99,2
100,2
101,2
102,2
103,1
104,3
105,2
106,2
107,2
108,1
109,1
110,3
111,2
112,2
113,1
114,2
115,2
116,1
117,2
118,1
119,2
120,2
121,2
122,1
123,3
124,2
125,2
126,3
127,2
128,1
129,2
130,3
131,2
132,3
133,3
134,3
135,3
136,1
137,3
138,3
139,1
140,1
141,1
142,3
143,2
144,2
145,2
146,1
147,1
148,3
149,2
150,1
151,3
152,1
153,2
154,1
155,3
156,1
157,1
158,3
159,2
160,2
161,3
162,2
163,2
164,2
165,3
166,2
167,2
168,2
169,1
170,2
171,3
172,2
173,2
174,1
175,2
176,2
177,3
178,3
179,2
180,3
181,1
182,1
183,1
184,1
185,2
186,3
187,1
188,2
189,1
190,2
191,2
192,3
193,2
194,1
195,3
196,2
197,1
198,3
199,1
200,1
